Tag Name,Type,Description,PLC Address
"PLC uploded Tags.AI05_Dryer_Heat_Zone_3_Temp_High_Fault","bool","AI05_Dryer_Heat_Zone_3_Temp_High_Fault","AI05_Dryer_Heat_Zone_3_Temp_High_Fault"
"PLC uploded Tags.AI05_Dryer_Heat_Zone_3_Temp_Low_Fault","bool","AI05_Dryer_Heat_Zone_3_Temp_Low_Fault","AI05_Dryer_Heat_Zone_3_Temp_Low_Fault"
"PLC uploded Tags.AI05_Dryer_Heat_Zone_3_Temp_Scaled_Value","float","AI05_Dryer_Heat_Zone_3_Temp_Scaled_Value","AI05_Dryer_Heat_Zone_3_Temp_Scaled_Value"
"PLC uploded Tags.AI05_Dryer_Heat_Zone_3_Temp_WithIn_Range","bool","AI05_Dryer_Heat_Zone_3_Temp_WithIn_Range","AI05_Dryer_Heat_Zone_3_Temp_WithIn_Range"
"PLC uploded Tags.AI06_Cooling_Air_Inlet_Temp_Scaled_Value","float","AI06_Cooling_Air_Inlet_Temp_Scaled_Value","AI06_Cooling_Air_Inlet_Temp_Scaled_Value"
"PLC uploded Tags.AI07_Cool_Air_Outlet_Temp_Scaled_Value","float","AI07_Cool_Air_Outlet_Temp_Scaled_Value","AI07_Cool_Air_Outlet_Temp_Scaled_Value"
"PLC uploded Tags.AI08_Dryer_Cool_Zone_Temp_Scaled_Value","float","AI08_Dryer_Cool_Zone_Temp_Scaled_Value","AI08_Dryer_Cool_Zone_Temp_Scaled_Value"
"PLC uploded Tags.AI09_Dryer_Heat_Zn_UP_DC_PT_Scaled_Value","float","AI09_Dryer_Heat_Zn_UP_DC_PT_Scaled_Value","AI09_Dryer_Heat_Zn_UP_DC_PT_Scaled_Value"
"PLC uploded Tags.AI10_Dryer_Cool_Zn_UP_DC_PT_Scaled_Value","float","AI10_Dryer_Cool_Zn_UP_DC_PT_Scaled_Value","AI10_Dryer_Cool_Zn_UP_DC_PT_Scaled_Value"
"PLC uploded Tags.AI13_Dryer_Heat_Zn_Inlet_FT_Scaled_Value","float","AI13_Dryer_Heat_Zn_Inlet_FT_Scaled_Value","AI13_Dryer_Heat_Zn_Inlet_FT_Scaled_Value"
"PLC uploded Tags.Always_False","bool","Always_False","Always_False"
"PLC uploded Tags.Always_True","bool","Always_True","Always_True"
"PLC uploded Tags.Auto_Chopper_Cycle_Stopped","bool","Auto_Chopper_Cycle_Stopped","Auto_Chopper_Cycle_Stopped"
"PLC uploded Tags.Auto_Chopper01_Pu_Roller_Down_Bypass","bool","Auto_Chopper01_Pu_Roller_Down_Bypass","Auto_Chopper01_Pu_Roller_Down_Bypass"
"PLC uploded Tags.Auto_Chopper02_Pu_Roller_Down_Bypass","bool","Auto_Chopper02_Pu_Roller_Down_Bypass","Auto_Chopper02_Pu_Roller_Down_Bypass"
"PLC uploded Tags.Auto_Stitching_Motor_Start_Cmd","bool","Auto_Stitching_Motor_Start_Cmd","Auto_Stitching_Motor_Start_Cmd"
"PLC uploded Tags.Auto_Stitching_Thread_Cut_Start_Cmd","bool","Auto_Stitching_Thread_Cut_Start_Cmd","Auto_Stitching_Thread_Cut_Start_Cmd"
"PLC uploded Tags.Bag_Production_Count_Reset","bool","Bag_Production_Count_Reset","Bag_Production_Count_Reset"
"PLC uploded Tags.Bag_Rejection_Set","bool","Bag_Rejection_Set","Bag_Rejection_Set"
"PLC uploded Tags.Bag_Stitching_Motor_Bypass","bool","Bag_Stitching_Motor_Bypass","Bag_Stitching_Motor_Bypass"
"PLC uploded Tags.Bag_Tare_Weight","float","Bag_Tare_Weight","Bag_Tare_Weight"
"PLC uploded Tags.Burner_Analog_Input","float","Burner_Analog_Input","Burner_Analog_Input"
"PLC uploded Tags.BURNER_ENABLE","bool","BURNER_ENABLE","BURNER_ENABLE"
"PLC uploded Tags.Burner_Fault_FB","bool","Burner_Fault_FB","Burner_Fault_FB"
"PLC uploded Tags.Burner_High_Flam_Signal","int","Burner_High_Flam_Signal","Burner_High_Flam_Signal"
"PLC uploded Tags.Burner_Low_Flam_Signal","int","Burner_Low_Flam_Signal","Burner_Low_Flam_Signal"
"PLC uploded Tags.Burner_test_Mode","bool","Burner_test_Mode","Burner_test_Mode"
"PLC uploded Tags.BurnerLowFlame","bool","BurnerLowFlame","BurnerLowFlame"
"PLC uploded Tags.BurnerONFromBurner","bool","BurnerONFromBurner","BurnerONFromBurner"
"PLC uploded Tags.Bypass_Trial","bool","Bypass_Trial","Bypass_Trial"
"PLC uploded Tags.CHopper_1_Chopping_Cycle_Selction","bool","CHopper_1_Chopping_Cycle_Selction","CHopper_1_Chopping_Cycle_Selction"
"PLC uploded Tags.Chopper_1_Chopping_Cycle_Start","bool","Chopper_1_Chopping_Cycle_Start","Chopper_1_Chopping_Cycle_Start"
"PLC uploded Tags.Chopper_2_Chopping_Cycle_Selction","bool","Chopper_2_Chopping_Cycle_Selction","Chopper_2_Chopping_Cycle_Selction"
"PLC uploded Tags.Chopper_2_Chopping_Cycle_Start","bool","Chopper_2_Chopping_Cycle_Start","Chopper_2_Chopping_Cycle_Start"
"PLC uploded Tags.Chopper_Cooling_Zn_Temp_High_SP","float","Chopper_Cooling_Zn_Temp_High_SP","Chopper_Cooling_Zn_Temp_High_SP"
"PLC uploded Tags.Chopper_Cooling_Zn_Temp_High_Tol_SP","float","Chopper_Cooling_Zn_Temp_High_Tol_SP","Chopper_Cooling_Zn_Temp_High_Tol_SP"
"PLC uploded Tags.Chopper_Cooling_Zn_Temp_Low_SP","float","Chopper_Cooling_Zn_Temp_Low_SP","Chopper_Cooling_Zn_Temp_Low_SP"
"PLC uploded Tags.Chopper_Cooling_Zn_Temp_Low_Tol_SP","float","Chopper_Cooling_Zn_Temp_Low_Tol_SP","Chopper_Cooling_Zn_Temp_Low_Tol_SP"
"PLC uploded Tags.Chopper_Door_Switch_1_DoorOpenCoilOn","bool","Chopper_Door_Switch_1_DoorOpenCoilOn","Chopper_Door_Switch_1_DoorOpenCoilOn"
"PLC uploded Tags.Chopper_Door_Switch_2_DoorOpenCoilOn","bool","Chopper_Door_Switch_2_DoorOpenCoilOn","Chopper_Door_Switch_2_DoorOpenCoilOn"
"PLC uploded Tags.Chopper_Heating_Zn_Temp_High_SP","float","Chopper_Heating_Zn_Temp_High_SP","Chopper_Heating_Zn_Temp_High_SP"
"PLC uploded Tags.Chopper_Heating_Zn_Temp_High_Tol_SP","float","Chopper_Heating_Zn_Temp_High_Tol_SP","Chopper_Heating_Zn_Temp_High_Tol_SP"
"PLC uploded Tags.Chopper_Heating_Zn_Temp_Low_SP","float","Chopper_Heating_Zn_Temp_Low_SP","Chopper_Heating_Zn_Temp_Low_SP"
"PLC uploded Tags.Chopper_Heating_Zn_Temp_Low_Tol_SP","float","Chopper_Heating_Zn_Temp_Low_Tol_SP","Chopper_Heating_Zn_Temp_Low_Tol_SP"
"PLC uploded Tags.Chopper01_PU_Cylinder_Fwd_FB_Absent","bool","Chopper01_PU_Cylinder_Fwd_FB_Absent","Chopper01_PU_Cylinder_Fwd_FB_Absent"
"PLC uploded Tags.Chopper02_PU_Cylinder_Fwd_FB_Absent","bool","Chopper02_PU_Cylinder_Fwd_FB_Absent","Chopper02_PU_Cylinder_Fwd_FB_Absent"
"PLC uploded Tags.Chopper1_Pu_Cylinder_Fwd_Set","bool","Chopper1_Pu_Cylinder_Fwd_Set","Chopper1_Pu_Cylinder_Fwd_Set"
"PLC uploded Tags.Chopper1_Pu_Cylinder_Rev_Set","bool","Chopper1_Pu_Cylinder_Rev_Set","Chopper1_Pu_Cylinder_Rev_Set"
"PLC uploded Tags.Chopper2_Pu_Cylinder_Fwd_Set","bool","Chopper2_Pu_Cylinder_Fwd_Set","Chopper2_Pu_Cylinder_Fwd_Set"
"PLC uploded Tags.Chopper2_Pu_Cylinder_Rev_Set","bool","Chopper2_Pu_Cylinder_Rev_Set","Chopper2_Pu_Cylinder_Rev_Set"
"PLC uploded Tags.Coarse_Fill_Running","bool","Coarse_Fill_Running","Coarse_Fill_Running"
"PLC uploded Tags.Coarse_Vibro_Bypass","bool","Coarse_Vibro_Bypass","Coarse_Vibro_Bypass"
"PLC uploded Tags.control_valve_output","float","control_valve_output","control_valve_output"
"PLC uploded Tags.Cooling_Air_Inlet_Temp_High_SP","float","Cooling_Air_Inlet_Temp_High_SP","Cooling_Air_Inlet_Temp_High_SP"
"PLC uploded Tags.Cooling_Air_Inlet_Temp_Low_SP","float","Cooling_Air_Inlet_Temp_Low_SP","Cooling_Air_Inlet_Temp_Low_SP"
"PLC uploded Tags.Cooling_Air_Inlet_Temp_temp_High_fault","bool","Cooling_Air_Inlet_Temp_temp_High_fault","Cooling_Air_Inlet_Temp_temp_High_fault"
"PLC uploded Tags.Cooling_Air_Inlet_Temp_temp_low_fault","bool","Cooling_Air_Inlet_Temp_temp_low_fault","Cooling_Air_Inlet_Temp_temp_low_fault"
"PLC uploded Tags.Cooling_Air_Inlet_Temp_With_In_Range","bool","Cooling_Air_Inlet_Temp_With_In_Range","Cooling_Air_Inlet_Temp_With_In_Range"
"PLC uploded Tags.Cooling_Air_OutIet_Temp_Low_SP","float","Cooling_Air_OutIet_Temp_Low_SP","Cooling_Air_OutIet_Temp_Low_SP"
"PLC uploded Tags.Cooling_Air_Outlet_Temp_High_SP","float","Cooling_Air_Outlet_Temp_High_SP","Cooling_Air_Outlet_Temp_High_SP"
"PLC uploded Tags.Cooling_Air_outlet_Temp_temp_High_fault","bool","Cooling_Air_outlet_Temp_temp_High_fault","Cooling_Air_outlet_Temp_temp_High_fault"
"PLC uploded Tags.Cooling_Air_outlet_Temp_temp_low_fault","bool","Cooling_Air_outlet_Temp_temp_low_fault","Cooling_Air_outlet_Temp_temp_low_fault"
"PLC uploded Tags.Cooling_Air_Outlet_Temp_With_In_Range","bool","Cooling_Air_Outlet_Temp_With_In_Range","Cooling_Air_Outlet_Temp_With_In_Range"
"PLC uploded Tags.Cooling_Zn_Chopper_Ready","bool","Cooling_Zn_Chopper_Ready","Cooling_Zn_Chopper_Ready"
"PLC uploded Tags.Cooling_Zone_DC_PT_Diff_with_In_Range","bool","Cooling_Zone_DC_PT_Diff_with_In_Range","Cooling_Zone_DC_PT_Diff_with_In_Range"
"PLC uploded Tags.Cooling_Zone_Temp_Scaled_PV","float","Cooling_Zone_Temp_Scaled_PV","Cooling_Zone_Temp_Scaled_PV"
"PLC uploded Tags.Cooling_Zone_Temp_Within_Range","bool","Cooling_Zone_Temp_Within_Range","Cooling_Zone_Temp_Within_Range"
"PLC uploded Tags.CoolingZone_Temp_High_Limit","int","CoolingZone_Temp_High_Limit","CoolingZone_Temp_High_Limit"
"PLC uploded Tags.CoolingZone_Temp_Low_Limit","float","CoolingZone_Temp_Low_Limit","CoolingZone_Temp_Low_Limit"
"PLC uploded Tags.Coolong_Zone_DC_PT_Difference","float","Coolong_Zone_DC_PT_Difference","Coolong_Zone_DC_PT_Difference"
"PLC uploded Tags.Coolong_Zone_DC_PT_Difference_High_SP","float","Coolong_Zone_DC_PT_Difference_High_SP","Coolong_Zone_DC_PT_Difference_High_SP"
"PLC uploded Tags.Coolong_Zone_DC_PT_Difference_low_SP","float","Coolong_Zone_DC_PT_Difference_low_SP","Coolong_Zone_DC_PT_Difference_low_SP"
"PLC uploded Tags.CVF_Auto_Speed_Coarse_Mode","float","CVF_Auto_Speed_Coarse_Mode","CVF_Auto_Speed_Coarse_Mode"
"PLC uploded Tags.CVF_Auto_Speed_Fine_Mode","float","CVF_Auto_Speed_Fine_Mode","CVF_Auto_Speed_Fine_Mode"
"PLC uploded Tags.DCDC_Run_RuFB_Absent","bool","DCDC_Run_RuFB_Absent","DCDC_Run_RuFB_Absent"
"PLC uploded Tags.DHDC_RPM","int","DHDC_RPM","DHDC_RPM"
"PLC uploded Tags.DHDC_Run_RuFB_Absent","bool","DHDC_Run_RuFB_Absent","DHDC_Run_RuFB_Absent"
"PLC uploded Tags.DHIC_Run_RuFB_Absent","bool","DHIC_Run_RuFB_Absent","DHIC_Run_RuFB_Absent"
"PLC uploded Tags.DI41_ONS","bool","DI41_ONS","DI41_ONS"
"PLC uploded Tags.DI41_Pulse","bool","DI41_Pulse","DI41_Pulse"
"PLC uploded Tags.DI41_RPM","int","DI41_RPM","DI41_RPM"
"PLC uploded Tags.DLR01_Path","string","DLR01_Path","DLR01_Path"
"PLC uploded Tags.Dryer_Cool_Zone_DC_PT_High_SP","float","Dryer_Cool_Zone_DC_PT_High_SP","Dryer_Cool_Zone_DC_PT_High_SP"
"PLC uploded Tags.Dryer_Cool_Zone_DC_PT_Low_SP","float","Dryer_Cool_Zone_DC_PT_Low_SP","Dryer_Cool_Zone_DC_PT_Low_SP"
"PLC uploded Tags.Dryer_Cool_Zone_DC_PT_Within_Range","bool","Dryer_Cool_Zone_DC_PT_Within_Range","Dryer_Cool_Zone_DC_PT_Within_Range"
"PLC uploded Tags.Dryer_Cool_Zone_DN_DC_PT_High_SP","float","Dryer_Cool_Zone_DN_DC_PT_High_SP","Dryer_Cool_Zone_DN_DC_PT_High_SP"
"PLC uploded Tags.Dryer_Cool_Zone_DN_DC_PT_Low_SP","float","Dryer_Cool_Zone_DN_DC_PT_Low_SP","Dryer_Cool_Zone_DN_DC_PT_Low_SP"
"PLC uploded Tags.Dryer_Cool_Zone_Temp_High_Fault","bool","Dryer_Cool_Zone_Temp_High_Fault","Dryer_Cool_Zone_Temp_High_Fault"
"PLC uploded Tags.Dryer_Cool_Zone_Temp_Low_Fault","bool","Dryer_Cool_Zone_Temp_Low_Fault","Dryer_Cool_Zone_Temp_Low_Fault"
"PLC uploded Tags.Dryer_Cool_Zone_Temp_Within_Range","bool","Dryer_Cool_Zone_Temp_Within_Range","Dryer_Cool_Zone_Temp_Within_Range"
"PLC uploded Tags.Dryer_Cooling_Zone_DC_Level_High","bool","Dryer_Cooling_Zone_DC_Level_High","Dryer_Cooling_Zone_DC_Level_High"
"PLC uploded Tags.Dryer_Cooling_Zone_Temp_High_SP","float","Dryer_Cooling_Zone_Temp_High_SP","Dryer_Cooling_Zone_Temp_High_SP"
"PLC uploded Tags.Dryer_Cooling_Zone_Temp_Low_SP","float","Dryer_Cooling_Zone_Temp_Low_SP","Dryer_Cooling_Zone_Temp_Low_SP"
"PLC uploded Tags.Dryer_Gas_Inlet_FT_High_SP","float","Dryer_Gas_Inlet_FT_High_SP","Dryer_Gas_Inlet_FT_High_SP"
"PLC uploded Tags.Dryer_Heat_Zn_Inlet_FT_High_SP","float","Dryer_Heat_Zn_Inlet_FT_High_SP","Dryer_Heat_Zn_Inlet_FT_High_SP"
"PLC uploded Tags.Dryer_Heat_Zn_Inlet_FT_Low_SP","float","Dryer_Heat_Zn_Inlet_FT_Low_SP","Dryer_Heat_Zn_Inlet_FT_Low_SP"
"PLC uploded Tags.Dryer_Heat_Zn_Inlet_FT_Within_range","bool","Dryer_Heat_Zn_Inlet_FT_Within_range","Dryer_Heat_Zn_Inlet_FT_Within_range"
"PLC uploded Tags.Dryer_Heat_Zn_Outlet_FT_Low_SP","float","Dryer_Heat_Zn_Outlet_FT_Low_SP","Dryer_Heat_Zn_Outlet_FT_Low_SP"
"PLC uploded Tags.Dryer_Heat_Zone_DN_DC_PT_High_SP","float","Dryer_Heat_Zone_DN_DC_PT_High_SP","Dryer_Heat_Zone_DN_DC_PT_High_SP"
"PLC uploded Tags.Dryer_Heat_Zone_DN_DC_PT_Low_SP","float","Dryer_Heat_Zone_DN_DC_PT_Low_SP","Dryer_Heat_Zone_DN_DC_PT_Low_SP"
"PLC uploded Tags.Dryer_Heat_Zone_UP_DC_PT_High_SP","float","Dryer_Heat_Zone_UP_DC_PT_High_SP","Dryer_Heat_Zone_UP_DC_PT_High_SP"
"PLC uploded Tags.Dryer_Heat_Zone_UP_DC_PT_Low_SP","float","Dryer_Heat_Zone_UP_DC_PT_Low_SP","Dryer_Heat_Zone_UP_DC_PT_Low_SP"
"PLC uploded Tags.Dryer_Heat_Zone_UP_DC_PT_Within_Range","bool","Dryer_Heat_Zone_UP_DC_PT_Within_Range","Dryer_Heat_Zone_UP_DC_PT_Within_Range"
"PLC uploded Tags.Dryer_Heating_Zone_DC_Level_High","bool","Dryer_Heating_Zone_DC_Level_High","Dryer_Heating_Zone_DC_Level_High"
"PLC uploded Tags.Dust_Collector_Motor_Bypass","bool","Dust_Collector_Motor_Bypass","Dust_Collector_Motor_Bypass"
"PLC uploded Tags.E030_Panel_Temp_High","bool","E030_Panel_Temp_High","E030_Panel_Temp_High"
"PLC uploded Tags.E161_Z2_Panel_Temp_High","bool","E161_Z2_Panel_Temp_High","E161_Z2_Panel_Temp_High"
"PLC uploded Tags.Filling_Actual_Weight","float","Filling_Actual_Weight","Filling_Actual_Weight"
"PLC uploded Tags.Filling_Weight_High","bool","Filling_Weight_High","Filling_Weight_High"
"PLC uploded Tags.Filling_Weight_Higher_SP","float","Filling_Weight_Higher_SP","Filling_Weight_Higher_SP"
"PLC uploded Tags.Filling_Weight_Low","bool","Filling_Weight_Low","Filling_Weight_Low"
"PLC uploded Tags.Filling_Weight_Lower_SP","float","Filling_Weight_Lower_SP","Filling_Weight_Lower_SP"
"PLC uploded Tags.Fine_Fill_Running","bool","Fine_Fill_Running","Fine_Fill_Running"
"PLC uploded Tags.Fine_FineWeight","bool","Fine_FineWeight","Fine_FineWeight"
"PLC uploded Tags.Fine_Super_FineWeight","bool","Fine_Super_FineWeight","Fine_Super_FineWeight"
"PLC uploded Tags.Fine_Vibro_Bypass","bool","Fine_Vibro_Bypass","Fine_Vibro_Bypass"
"PLC uploded Tags.Fine_Vibro_Level_High_SP","float","Fine_Vibro_Level_High_SP","Fine_Vibro_Level_High_SP"
"PLC uploded Tags.Fine_Vibro_Level_High_Tol_SP","float","Fine_Vibro_Level_High_Tol_SP","Fine_Vibro_Level_High_Tol_SP"
"PLC uploded Tags.Fine_Vibro_Level_Low_SP","float","Fine_Vibro_Level_Low_SP","Fine_Vibro_Level_Low_SP"
"PLC uploded Tags.Fine_Vibro_Level_Low_Tol_SP","float","Fine_Vibro_Level_Low_Tol_SP","Fine_Vibro_Level_Low_Tol_SP"
"PLC uploded Tags.Gas_Burner_Inlet_Temp_High_Fault","bool","Gas_Burner_Inlet_Temp_High_Fault","Gas_Burner_Inlet_Temp_High_Fault"
"PLC uploded Tags.Gas_Burner_Inlet_Temp_Low_Fault","bool","Gas_Burner_Inlet_Temp_Low_Fault","Gas_Burner_Inlet_Temp_Low_Fault"
"PLC uploded Tags.Gas_Burner_Inlet_Temp_With_In_Range","bool","Gas_Burner_Inlet_Temp_With_In_Range","Gas_Burner_Inlet_Temp_With_In_Range"
"PLC uploded Tags.Gas_Burner_Outlet_Temp_High_Fault","bool","Gas_Burner_Outlet_Temp_High_Fault","Gas_Burner_Outlet_Temp_High_Fault"
"PLC uploded Tags.Gas_Burner_Outlet_Temp_High_SP","float","Gas_Burner_Outlet_Temp_High_SP","Gas_Burner_Outlet_Temp_High_SP"
"PLC uploded Tags.Gas_Burner_Outlet_Temp_Low_Fault","bool","Gas_Burner_Outlet_Temp_Low_Fault","Gas_Burner_Outlet_Temp_Low_Fault"
"PLC uploded Tags.Gas_Burner_Outlet_Temp_Low_SP","float","Gas_Burner_Outlet_Temp_Low_SP","Gas_Burner_Outlet_Temp_Low_SP"
"PLC uploded Tags.Gas_Burner_Outlet_Temp_With_In_Range","bool","Gas_Burner_Outlet_Temp_With_In_Range","Gas_Burner_Outlet_Temp_With_In_Range"
"PLC uploded Tags.Heating_Temp_Scaled_PV","float","Heating_Temp_Scaled_PV","Heating_Temp_Scaled_PV"
"PLC uploded Tags.Heating_Zn_Chopper_Ready","bool","Heating_Zn_Chopper_Ready","Heating_Zn_Chopper_Ready"
"PLC uploded Tags.heating_zone_burner_valve_start_testbit","bool","heating_zone_burner_valve_start_testbit","heating_zone_burner_valve_start_testbit"
"PLC uploded Tags.Heating_Zone_DC_PT_Diff_with_In_Range","bool","Heating_Zone_DC_PT_Diff_with_In_Range","Heating_Zone_DC_PT_Diff_with_In_Range"
"PLC uploded Tags.Heating_Zone_DC_PT_Difference","float","Heating_Zone_DC_PT_Difference","Heating_Zone_DC_PT_Difference"
"PLC uploded Tags.Heating_Zone_DC_PT_Difference_High_SP","float","Heating_Zone_DC_PT_Difference_High_SP","Heating_Zone_DC_PT_Difference_High_SP"
"PLC uploded Tags.Heating_Zone_DC_PT_Difference_low_SP","float","Heating_Zone_DC_PT_Difference_low_SP","Heating_Zone_DC_PT_Difference_low_SP"
"PLC uploded Tags.Heating_Zone_Inlet_Close_Fault","bool","Heating_Zone_Inlet_Close_Fault","Heating_Zone_Inlet_Close_Fault"
"PLC uploded Tags.Heating_Zone_Temp_Within_Range","bool","Heating_Zone_Temp_Within_Range","Heating_Zone_Temp_Within_Range"
"PLC uploded Tags.HeatingZoneTemperature_Reach","bool","HeatingZoneTemperature_Reach","HeatingZoneTemperature_Reach"
"PLC uploded Tags.HMI_Auto_Chopper_Stop_Delay_Time","int","HMI_Auto_Chopper_Stop_Delay_Time","HMI_Auto_Chopper_Stop_Delay_Time"
"PLC uploded Tags.HMI_Auto_Sealing_Conveyor_Speed","float","HMI_Auto_Sealing_Conveyor_Speed","HMI_Auto_Sealing_Conveyor_Speed"
"PLC uploded Tags.HMI_Auto_Stitching_Conveyor_Speed","float","HMI_Auto_Stitching_Conveyor_Speed","HMI_Auto_Stitching_Conveyor_Speed"
"PLC uploded Tags.HMI_Bag_Up_Dn_cyl_Weight_Limit","float","HMI_Bag_Up_Dn_cyl_Weight_Limit","HMI_Bag_Up_Dn_cyl_Weight_Limit"
"PLC uploded Tags.HMI_Coarse_FastSpeed","int","HMI_Coarse_FastSpeed","HMI_Coarse_FastSpeed"
"PLC uploded Tags.HMI_Coarse_FineSpeed","int","HMI_Coarse_FineSpeed","HMI_Coarse_FineSpeed"
"PLC uploded Tags.HMI_Coarse_SuperFineSpeed","int","HMI_Coarse_SuperFineSpeed","HMI_Coarse_SuperFineSpeed"
"PLC uploded Tags.HMI_Coarse_Vibro_Enable","bool","HMI_Coarse_Vibro_Enable","HMI_Coarse_Vibro_Enable"
"PLC uploded Tags.HMI_Cooling_Air_Inlet_Temp_High_Tol_SP","float","HMI_Cooling_Air_Inlet_Temp_High_Tol_SP","HMI_Cooling_Air_Inlet_Temp_High_Tol_SP"
"PLC uploded Tags.HMI_Cooling_Air_Inlet_Temp_Low_Tol_SP","float","HMI_Cooling_Air_Inlet_Temp_Low_Tol_SP","HMI_Cooling_Air_Inlet_Temp_Low_Tol_SP"
"PLC uploded Tags.HMI_Cooling_Air_Inlet_Temp_SP","float","HMI_Cooling_Air_Inlet_Temp_SP","HMI_Cooling_Air_Inlet_Temp_SP"
"PLC uploded Tags.HMI_Cooling_Air_Outlet_Temp_High_Tol_SP","float","HMI_Cooling_Air_Outlet_Temp_High_Tol_SP","HMI_Cooling_Air_Outlet_Temp_High_Tol_SP"
"PLC uploded Tags.HMI_Cooling_Air_Outlet_Temp_Low_Tol_SP","float","HMI_Cooling_Air_Outlet_Temp_Low_Tol_SP","HMI_Cooling_Air_Outlet_Temp_Low_Tol_SP"
"PLC uploded Tags.HMI_Cooling_Air_Outlet_Temp_SP","float","HMI_Cooling_Air_Outlet_Temp_SP","HMI_Cooling_Air_Outlet_Temp_SP"
"PLC uploded Tags.HMI_Cooling_Zone_Temp_High_SP","float","HMI_Cooling_Zone_Temp_High_SP","HMI_Cooling_Zone_Temp_High_SP"
"PLC uploded Tags.HMI_Cooling_Zone_Temp_High_Tol_SP","float","HMI_Cooling_Zone_Temp_High_Tol_SP","HMI_Cooling_Zone_Temp_High_Tol_SP"
"PLC uploded Tags.HMI_Cooling_Zone_Temp_Low_SP","float","HMI_Cooling_Zone_Temp_Low_SP","HMI_Cooling_Zone_Temp_Low_SP"
"PLC uploded Tags.HMI_Cooling_Zone_Temp_Low_Tol_SP","float","HMI_Cooling_Zone_Temp_Low_Tol_SP","HMI_Cooling_Zone_Temp_Low_Tol_SP"
"PLC uploded Tags.HMI_Cooling_Zone_Temp_SP","float","HMI_Cooling_Zone_Temp_SP","HMI_Cooling_Zone_Temp_SP"
"PLC uploded Tags.HMI_CoolingZone_Enable","bool","HMI_CoolingZone_Enable","HMI_CoolingZone_Enable"
